PointNumber          x          y
704             0.473613      0.172483
705             0.452088      0.213995
706             0.426487      0.260584
707             0.400350      0.299020
708             0.361842      0.353618
709             0.310855      0.432566
710             0.287865      0.503862
711             0.275601      0.549414
712             0.261513      0.596217
713             0.238058      0.663186
714             0.224042      0.701731
715             0.212672      0.732766
716             0.202160      0.760798
717             0.190789      0.785362
718             0.173842      0.812929
719             0.164617      0.835991
720             0.151137      0.863880
721             0.131865      0.890160
722             0.111842      0.913651
723             0.083453      0.940968
724             0.069436      0.960240
725             0.055921      0.975329
726             0.036828      0.985555
727             0.018378      0.987092
728             0.559211     -0.049342
729             0.580592     -0.113487
730             0.001645      0.965393
731             0.001645      0.927673
732             0.001645      0.878637
733             0.001645      0.814890
734             0.001645      0.732019
735             0.001645      0.624287
736             0.001645      0.484235
737             0.001645      0.298725
738             0.001645      0.100919
739             0.001645     -0.096886
740             0.001645     -0.294692
741             0.001645     -0.492497
742             0.001645     -0.690303
743             0.001645     -0.846590
744             0.001645     -0.964383
745             0.092928     -0.981908
746             0.181922     -0.963279
747             0.246496     -0.946367
748             0.345395     -0.920230
749             0.423555     -0.894701
750             0.478904     -0.874714
751             0.548520     -0.830592
752             0.611842     -0.775493
753             0.658717     -0.709704
754             0.689145     -0.638158
755             0.706879     -0.583810
756             0.719179     -0.543836
757             0.724507     -0.500000
758             0.720449     -0.449451
759             0.713834     -0.396527
760             0.699836     -0.351151
761             0.682852     -0.310426
762             0.661828     -0.261370
763             0.638015     -0.223684
764             0.608231     -0.183388
765             0.540332      0.005900
766             0.524957      0.050486
767             0.506579      0.092928
768             0.484375      0.148026
769             0.463601      0.191791
770             0.439073      0.239095
771             0.414331      0.278461
772             0.384547      0.322261
773             0.332237      0.393092
774             0.297697      0.472039
775             0.281357      0.528032
776             0.270595      0.568006
777             0.248355      0.634046
778             0.230621      0.683638
779             0.218321      0.717463
780             0.207094      0.747640
781             0.197869      0.772240
782             0.180921      0.800164
783             0.169551      0.823656
784             0.159039      0.849936
785             0.140911      0.877825
786             0.123999      0.900887
787             0.095395      0.928454
788             0.076015      0.951194
789             0.063716      0.968106
790             0.046053      0.981908
791             0.028247      0.986270
792             0.007223      0.988022
793             0.569079     -0.078947
794             0.593750     -0.152961
795             0.032072     -0.961093
796             0.007223      0.980324
797             0.092928     -0.954514
798             0.032072     -0.906306
799             0.032072     -0.933699
800             0.062500     -0.957804
801             0.007223      0.964928
802             0.018378      0.979394
